player,pos,team,adp,rank,date
Zach Pascal,WR,PHI,215.9,293,2022-05-18
Jalen Reagor,WR,PHI,215.9,294,2022-05-18
Breshad Perriman,WR,TB,215.9,295,2022-05-18
Jacoby Brissett,QB,CLE,215.9,296,2022-05-18
Geno Smith,QB,SEA,215.9,297,2022-05-18
Rex Burkhead,RB,HOU,215.9,298,2022-05-18
Scott Miller,WR,TB,215.9,299,2022-05-18
Emmanuel Sanders,WR,BUF,215.9,300,2022-05-18
Darius Slayton,WR,NYG,215.9,301,2022-05-18
Bo Melton,WR,SEA,215.9,302,2022-05-18
Cade Otton,TE,TB,216,303,2022-05-18
Foster Moreau,TE,LV,216,304,2022-05-18
Tommy Tremble,TE,CAR,216,305,2022-05-18
Dontrell Hilliard,RB,TEN,216,306,2022-05-18
Taylor Heinicke,QB,WAS,216,307,2022-05-18
Donald Parham,TE,LAC,216,308,2022-05-18
Deonte Harris,WR,NO,216,309,2022-05-18
James Proche,WR,BAL,216,310,2022-05-18
Keelan Cole,WR,NYJ,216,311,2022-05-18
Quintez Cephus,WR,DET,216,312,2022-05-18
Dan Arnold,TE,JAX,216,313,2022-05-18
Jeff Wilson,RB,SF,216,314,2022-05-18
Ihmir Smith-Marsette,WR,MIN,216,315,2022-05-18
Jerome Ford,RB,CLE,216,316,2022-05-18
Jalen Nailor,WR,MIN,216,317,2022-05-18
Ashton Dulin,WR,IND,216,318,2022-05-18
Josiah Deguara,TE,GB,216,319,2022-05-18
Drew Brees,QB,N/A,216,320,2022-05-18
Teddy Bridgewater,QB,MIA,216,321,2022-05-18
Josh Reynolds,WR,DET,216,322,2022-05-18
Benny Snell,RB,PIT,216,323,2022-05-18
Denzel Mims,WR,NYJ,216,324,2022-05-18
Lynn Bowden,WR,MIA,216,325,2022-05-18
DeSean Jackson,WR,LV,216,326,2022-05-18
Tyler Kroft,TE,NYJ,216,327,2022-05-18
Noah Brown,WR,DAL,216,328,2022-05-18
Jashuan Corbin,RB,NYG,216,329,2022-05-18
Noah Gray,TE,KC,216,330,2022-05-18
Josh Gordon,WR,KC,216,331,2022-05-18
Auden Tate,WR,ATL,216,332,2022-05-18
John Bates,TE,WAS,216,333,2022-05-18
Ty Chandler,RB,MIN,216,334,2022-05-18
Ryan Fitzpatrick,QB,WAS,216,335,2022-05-18
Wayne Gallman,RB,MIN,216,336,2022-05-18
Jimmy Graham,TE,CHI,216,337,2022-05-18
